Sr.No,Checklist Item,Category,.NET 8 Status,.NET 4.8.1 Status,.NET 10 Status,Status,Evidence/File Reference,Observation,Remediation Required
1,Separate Repo (SP_[AgentName]),Repo Structure,,,, ⚠️ PARTIAL,"Repo: tr/SP_SurePrep.DRL.Agent (monorepo)","SP_ prefix present but shared monorepo for 7 DRL agents. MergePDF is a sub-project. TRAssetinsightid: 208443 found.","Consider standalone repo per agent if mandated"
2,VB to C# Migration,Language,,,, ✅ PASS,"All .cs files; zero .vb files found","Complete migration. All logic in C# across MergePDF/ Business/ DataAccess/ Model/ Logger/ Tests projects.","None"
3,.NET 8,Framework, ✅ PASS,,, ✅ PASS,"SurePrep.DRL.Agent.MergePDF.csproj: <TargetFramework>net8.0</TargetFramework>","All 6 csproj files target net8.0. OutputType=Exe confirmed.","None for .NET 8"
4,.NET 4.8.1,Framework,, ❌ NOT USED,, ✅ PASS,"No net481 references found","No legacy .NET 4.8.1 framework detected anywhere.","None"
5,.NET 10,Framework,,, ❌ NOT YET, ❌ FAIL,"All csproj: net8.0","NOT upgraded to net10.0 yet. All projects still on net8.0.","Upgrade all 6 csproj to <TargetFramework>net10.0</TargetFramework>"
6,Console Application,App Type,,,, ✅ PASS,"csproj: <OutputType>Exe</OutputType>; Program.cs: Main()","Standalone console application with entry point. Not a Web API or Class Library.","None"
7,Containerization (Linux-compatible),Container,,,, ⚠️ PARTIAL,"dockerfile: FROM mcr.microsoft.com/dotnet/aspnet:8.0; DockerDefaultTargetOS=Linux","Linux-based Dockerfile exists using aspnet:8.0. NOT using chiseled image (mcr.microsoft.com/dotnet/runtime:10.0-jammy-chiseled). Heavy Chromium deps installed.","Migrate to net10.0 chiseled image after framework upgrade"
8,Azure Batch,Infra,,,, ⏭️ N/A,"No Microsoft.Azure.Batch references","DRL MergePDF is a Plexus (container-based) agent - NOT Azure Batch.","N/A - Plexus agent"
9,Domain Level Flag,Config,,,, ❌ FAIL,"No AzureQueueConfigMaster/AllDomainsEnable found","No domain-level flag enablement logic. No AzureQueueConfig domain-wise fallback.","Add domain-level flag check before job processing"
10,Queue Manager (.NET 8),Dependencies, ❌ FAIL,,, ❌ FAIL,"No SP_QueueManager package referenced","Agent uses Azure.Messaging.ServiceBus directly via IServiceBusHelper. No QueueManager wrapper.","Evaluate if QueueManager wrapper is required per standards"
11,Queue Manager (.NET 10),Dependencies,,, ❌ FAIL, ❌ FAIL,"Not applicable until .NET 10 migration","Cannot evaluate .NET 10 Queue Manager until framework is upgraded.","Post .NET 10 migration - integrate .NET 10 QueueManager"
12,Datadog Trace Changes,Observability,,,, ⚠️ PARTIAL,"Logger: Serilog.Sinks.Console v6.0.0 ✅ + Serilog.Sinks.Datadog.Logs v0.6.0 ✅. NO Datadog.Trace NuGet ❌","Serilog logging configured with DataDog sink. Custom DD keys (DataDogHost/Service/Env) in appsettings. Datadog.Trace APM package MISSING. DD_AGENT_HOST/DD_ENV/DD_SERVICE/DD_VERSION env vars not initialized.","Add Datadog.Trace NuGet. Initialize DD_* env vars in Dockerfile/K8s manifests"
13,Secondary DB FQDN Change,Config,,,, ✅ PASS,"appsettings.json: NeedToAppendInDBServerSecondary + StringToAppendInDBServerSecondary","Both flags found in CommonValues and Database sections. Value: .azinteg.thomsonreuters.com,1433. NeedToAppendInSecondaryDBServer=true in Dev config.","None"
14,Domain Level Flag (duplicate col),Config,,,, ❌ FAIL,"Same as item #9","No evidence of domain-level flag logic.","Same as item #9"
15,Exponential Backoff (.NET 8),Resilience, ❌ FAIL,,, ❌ FAIL,"MinTimerInterval=60000; MaxTimerInterval=60000 (fixed)","Fixed 60-second intervals. No SPset interval DLL. No exponential backoff/retry escalation logic found.","Integrate SPset interval DLL for exponential backoff"
16,Auto-Heal (.NET 8),Reliability, ❌ FAIL,,, ❌ FAIL,"No AutoHeal references in codebase","No AutoHeal DLL integration. DRL MergePDF NOT listed in Auto Heal agents sheet.","Integrate latest AutoHeal DLL"
17,Exponential Backoff (.NET 8) (dup),Resilience, ❌ FAIL,,, ❌ FAIL,"Same as item #15","Duplicate column - same as Exponential Backoff (.NET 8)","Same as #15"
18,Auto-Heal,Reliability,,,, ❌ FAIL,"No EnableHealthCheck or SpJobTypeAgentInfo query found","No health check query before execution. No auto-heal handler.","Add SpJobTypeAgentInfo EnableHealthCheck=='Y' check"
19,Exponential Backoff (.NET 10),Resilience,,, ❌ FAIL, ❌ FAIL,"N/A until .NET 10 migration","Cannot evaluate until .NET 10 migration is complete.","Post .NET 10 migration"
20,Auto-Heal (.NET 10),Reliability,,, ❌ FAIL, ❌ FAIL,"N/A until .NET 10 migration","Cannot evaluate until .NET 10 migration is complete.","Post .NET 10 migration"
21,Exponential Backoff (.NET 10) (dup),Resilience,,, ❌ FAIL, ❌ FAIL,"Same as item #19","Duplicate column.","Same as #19"
22,VM Creation / Azure Batch Creation,Infra,,,, ⏭️ N/A,"No Azure Batch configs","Plexus agent - Azure Batch VM creation not applicable.","N/A"
23,Service Bus Queue (Leverage),Messaging,,,, ✅ PASS,"Business.csproj: Azure.Messaging.ServiceBus v7.20.1; MergePDFApplication.cs: ServiceBusProcessor","Fully event-driven Service Bus consumption via StartProcessorAsync(). MaxConcurrentCalls throttling. ProcessMessageEventArgs handling.","None"
24,Generic Agent Integration,Architecture,,,, ❌ FAIL,"No GenericAgent references found","Agent processes Service Bus messages directly without intermediary Generic Agent DB-to-ServiceBus publishing.","Integrate with Generic Agent for job publishing"
25,Snyk Scan (Repo) - Preference,Security,,,, ⚠️ PARTIAL,"SurePrep.DRL.Agent.Model/SnykValidations.cs exists","SnykValidations.cs utility class found for URL validation. No Snyk scan CI/CD integration or snyk.yml workflow.","Add Snyk scan to CI/CD pipeline"
26,Service Bus Queue Creation (IaC),Infra,,,, ❌ FAIL,"No Terraform/Bicep/ARM templates found","No IaC directory. No startup queue-provisioning logic.","Create Terraform/Bicep modules for SB queue provisioning"
27,Snyk Scan GitHub Action - Preference,Security,,,, ❌ FAIL,"No snyk GitHub Action in workflows","MergePDF.yml workflow has build+test only. No Snyk scan step.","Add Snyk GitHub Action to CI pipeline"
28,SonarQube - Preference,Quality,,,, ⚠️ PARTIAL,"dockerfile: SonarQube scanner lines COMMENTED OUT","dotnet-sonarscanner commands exist in Dockerfile but are commented out (#RUN dotnet-sonarscanner).","Uncomment and re-enable SonarQube scanning"
29,DevOps (Pipelines and Helm Charts),DevOps,,,, ⚠️ PARTIAL,".github/workflows/SurePrep.DRL.Agent.MergePDF.yml ✅; No Helm charts ❌","GitHub Actions workflow exists - builds Docker image runs tests publishes artifacts. Single build job only - no multi-env (Dev→Prod) deployment stages. NO Helm charts directory.","Add Helm charts + multi-env deployment stages"
30,Autoscaling and Validation (KEDA),Scaling,,,, ❌ FAIL,"No KEDA ScaledObject or HPA configs found","No Kubernetes manifests. No KEDA autoscaling configurations. No Helm charts.","Create KEDA ScaledObject targeting Azure SB queue"
31,Load Testing,Validation,,,, ❌ FAIL,"Master sheet: DRL Merge PDF Load Test Status = nan (both Stage and QAT)","Load testing NOT completed for DRL Merge PDF agent per master spreadsheet.","Complete load testing before production release"
32,Maturity 1,Assessment,,,, ⚠️ PARTIAL,,"VB→C# ✅ | .NET Core ✅(net8.0) | Console App ✅ | Linux Container ⚠️ | Service Bus ✅. Missing: .NET 10 Dockerfile chiseled image.","Complete .NET 10 migration + chiseled Dockerfile"
33,Maturity 2,Assessment,,,, ❌ FAIL,,"KEDA ❌ | Helm Charts ❌ | Auto Heal ❌ | Health Check ❌ | Domain Flag ❌ | Generic Agent ❌ | Load Testing ❌","Multiple critical gaps for full scalability"
34,Qualified,Final Verdict,,,, ❌ NOT QUALIFIED,,"PASS: 7/33 | PARTIAL: 6/33 | FAIL: 16/33 | N/A: 4/33. Critical blockers in .NET 10 KEDA Auto-Heal Domain Flag Load Testing.","NOT qualified for production release"
